Entity,Code,Year,Marriage equality (combined),time
Monaco,MCO,2019,No legal provisions,2019
Mongolia,MNG,2019,No legal provisions,2019
Montenegro,MNE,2019,Banned,2019
Morocco,MAR,2019,No legal provisions,2019
Mozambique,MOZ,2019,No legal provisions,2019
Myanmar,MMR,2019,No legal provisions,2019
Namibia,NAM,2019,No legal provisions,2019
Nauru,NRU,2019,No legal provisions,2019
Nepal,NPL,2019,No legal provisions,2019
Netherlands,NLD,2019,Legal,2019
New Zealand,NZL,2019,Legal,2019
Nicaragua,NIC,2019,Banned,2019
Niger,NER,2019,No legal provisions,2019
Nigeria,NGA,2019,Banned,2019
North Korea,PRK,2019,No legal provisions,2019
North Macedonia,MKD,2019,No legal provisions,2019
Norway,NOR,2019,Legal,2019
Oman,OMN,2019,No legal provisions,2019
Pakistan,PAK,2019,No legal provisions,2019
Palau,PLW,2019,Banned,2019
Panama,PAN,2019,Banned,2019
Papua New Guinea,PNG,2019,No legal provisions,2019
Paraguay,PRY,2019,Banned,2019
Peru,PER,2019,No legal provisions,2019
Philippines,PHL,2019,No legal provisions,2019
Poland,POL,2019,Banned,2019
Portugal,PRT,2019,Legal,2019
Qatar,QAT,2019,No legal provisions,2019
Romania,ROU,2019,Banned,2019
Russia,RUS,2019,No legal provisions,2019
Rwanda,RWA,2019,Banned,2019
Saint Lucia,LCA,2019,No legal provisions,2019
Samoa,WSM,2019,No legal provisions,2019
San Marino,SMR,2019,No legal provisions,2019
Sao Tome and Principe,STP,2019,No legal provisions,2019
Saudi Arabia,SAU,2019,No legal provisions,2019
Senegal,SEN,2019,No legal provisions,2019
Serbia,SRB,2019,Banned,2019
Seychelles,SYC,2019,No legal provisions,2019
Sierra Leone,SLE,2019,No legal provisions,2019
Singapore,SGP,2019,No legal provisions,2019
Slovakia,SVK,2019,Banned,2019
Slovenia,SVN,2019,Partially legal,2019
Solomon Islands,SLB,2019,No legal provisions,2019
Somalia,SOM,2019,No legal provisions,2019
South Africa,ZAF,2019,Legal,2019
South Korea,KOR,2019,No legal provisions,2019
South Sudan,SSD,2019,No legal provisions,2019
Spain,ESP,2019,Legal,2019
Sri Lanka,LKA,2019,No legal provisions,2019
Sudan,SDN,2019,Banned,2019
Suriname,SUR,2019,No legal provisions,2019
Sweden,SWE,2019,Legal,2019
Switzerland,CHE,2019,Partially legal,2019
Syria,SYR,2019,No legal provisions,2019
Taiwan,TWN,2019,Partially legal,2019
Tajikistan,TJK,2019,No legal provisions,2019
Tanzania,TZA,2019,No legal provisions,2019
Thailand,THA,2019,No legal provisions,2019
Togo,TGO,2019,No legal provisions,2019
Tonga,TON,2019,No legal provisions,2019
Trinidad and Tobago,TTO,2019,No legal provisions,2019
Tunisia,TUN,2019,No legal provisions,2019
Turkey,TUR,2019,No legal provisions,2019
Turkmenistan,TKM,2019,No legal provisions,2019
Tuvalu,TUV,2019,No legal provisions,2019
Uganda,UGA,2019,Banned,2019
Ukraine,UKR,2019,Banned,2019
United Arab Emirates,ARE,2019,No legal provisions,2019
United Kingdom,GBR,2019,Legal,2019
United States,USA,2019,Legal,2019
Uruguay,URY,2019,Legal,2019
Uzbekistan,UZB,2019,No legal provisions,2019
Vanuatu,VUT,2019,No legal provisions,2019
Venezuela,VEN,2019,No legal provisions,2019
Vietnam,VNM,2019,No legal provisions,2019
Yemen,YEM,2019,No legal provisions,2019
Zambia,ZMB,2019,No legal provisions,2019
Zimbabwe,ZWE,2019,Banned,2019
